Video Duration Intel/2101_001_IPOS_2021/Helper/Infosys Transition/Demo on Figma and QA environment - Infosys_GLS-20210125_110424-Meeting Recording.mp4 | 3455.74 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Italian/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Italian/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Italian/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Italian/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Japanese/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Japanese/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Japanese/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Japanese/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Japanese/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Japanese/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Korean/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Korean/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Korean/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Korean/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Korean/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Korean/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Polish/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Polish/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Polish/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Polish/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Polish/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Polish/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Portuguese_(Brazil)/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Portuguese_(Brazil)/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Portuguese_(Brazil)/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Portuguese_(Brazil)/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Portuguese_(Brazil)/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Portuguese_(Brazil)/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Russian/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Russian/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Russian/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Russian/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Russian/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Russian/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Spanish_(Spain)/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Spanish_(Spain)/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Spanish_(Spain)/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Spanish_(Spain)/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Spanish_(Spain)/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Spanish_(Spain)/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Thai/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Thai/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Thai/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Thai/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Thai/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Thai/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Turkish/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Turkish/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Turkish/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Turkish/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Turkish/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Turkish/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Vietnamese/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Vietnamese/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Vietnamese/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Vietnamese/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Vietnamese/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/05_QA/ForQA/Vietnamese/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Simplified)/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Simplified)/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Simplified)/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Simplified)/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Simplified)/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Simplified)/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Traditional)/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Traditional)/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Traditional)/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Traditional)/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Traditional)/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Chinese_(Traditional)/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/English/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/English/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/English/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/English/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/English/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/English/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/French_(France)/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/French_(France)/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/French_(France)/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/French_(France)/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/French_(France)/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/French_(France)/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/German/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/German/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/German/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/German/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/German/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/German/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Indonesian/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Indonesian/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Indonesian/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Indonesian/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Indonesian/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Indonesian/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Italian/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Italian/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Italian/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Italian/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Italian/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Italian/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Japanese/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Japanese/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Japanese/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Japanese/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Japanese/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Japanese/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Korean/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Korean/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Korean/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Korean/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Korean/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Korean/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Polish/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Polish/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Polish/html/assets/video/memory-bits.mp4 | 12.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Polish/html/assets/video/thermal-velocity-boost.mp4 | 16.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Polish/html/assets/video/turbo-max-3.mp4 | 6.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Polish/html/assets/video/usecase-engineering-simulations.mp4 | 20.0 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Portuguese_(Brazil)/html/assets/video/hyper-threading.mp4 | 15.02 seconds
Video Duration Intel/2101_002_IPA_Training/2101_002_025_CCG_Cr_2987_Intel_Xeon_W_1200_Processors_When_Professional_Performance_Matters/06_Delivery/Portuguese_(Brazil)/html/assets/video/memory-bit-flipped.mp4 | 17.0 seconds
